category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.5255,0.4824,0.6154,0.7206,0.0001,0.0003,0.3015,0.1683,0.3005
fabric,0.7045,0.7474,0.7963,0.8900,0.1901,0.3095,0.6757,0.4664,0.6727
fruit_jelly,0.8217,0.9277,0.8955,0.9250,0.2360,0.3142,0.7568,0.5317,0.7566
rice,0.8100,0.8996,0.8092,0.9415,0.4968,0.5460,0.7218,0.5252,0.7098
sheet_metal,0.8014,0.9478,0.8955,0.8696,0.1425,0.2913,0.6141,0.3902,0.6040
vial,0.9475,0.9821,0.9493,0.9329,0.3745,0.3762,0.9197,0.7391,0.9181
wallplugs,0.4661,0.5746,0.7500,0.8972,0.0456,0.1229,0.5119,0.2347,0.5100
walnuts,0.7748,0.7635,0.8776,0.9604,0.3929,0.5453,0.7346,0.4299,0.7304
MEAN,0.7314,0.7906,0.8236,0.8921,0.2348,0.3132,0.6545,0.4357,0.6503
