category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.5307,0.4938,0.6154,0.6944,0.0001,0.0003,0.2877,0.1670,0.2875
fabric,0.6773,0.7246,0.7692,0.9280,0.1916,0.3050,0.7369,0.4894,0.7310
fruit_jelly,0.7492,0.8768,0.8824,0.9302,0.2487,0.3249,0.7450,0.5127,0.7436
rice,0.8214,0.8993,0.8432,0.9420,0.5413,0.5538,0.7652,0.5428,0.7534
sheet_metal,0.8005,0.9464,0.8955,0.9201,0.1866,0.3175,0.6158,0.3846,0.6132
vial,0.9660,0.9885,0.9502,0.9372,0.3760,0.3748,0.9245,0.7276,0.9235
wallplugs,0.4587,0.5766,0.7531,0.8822,0.0265,0.0790,0.4630,0.1443,0.4612
walnuts,0.7824,0.8027,0.8600,0.9633,0.3996,0.5410,0.7354,0.4290,0.7329
MEAN,0.7233,0.7886,0.8211,0.8997,0.2463,0.3121,0.6592,0.4247,0.6558
