category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.4936,0.5420,0.7258,0.8479,0.0003,0.0018,0.4674,0.1797,0.3754
fabric,0.6510,0.7084,0.7788,0.9057,0.0887,0.2427,0.8452,0.5426,0.7866
fruit_jelly,0.7642,0.8764,0.9008,0.9323,0.1292,0.2667,0.8240,0.4883,0.7657
rice,0.6172,0.7736,0.8108,0.9678,0.0712,0.2523,0.8241,0.5100,0.7566
sheet_metal,0.8185,0.9513,0.9045,0.8880,0.0862,0.2743,0.7497,0.4457,0.6650
vial,0.9556,0.9857,0.9375,0.9483,0.2490,0.3379,0.9425,0.7076,0.9263
wallplugs,0.4474,0.5663,0.7500,0.9247,0.0268,0.0932,0.7496,0.3273,0.7190
walnuts,0.8166,0.8179,0.8673,0.9704,0.2882,0.5364,0.8036,0.4870,0.7621
MEAN,0.6955,0.7777,0.8344,0.9231,0.1175,0.2506,0.7758,0.4610,0.7196
