category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.5105,0.5420,0.7258,0.8773,0.0006,0.0042,0.5053,0.2131,0.4223
fabric,0.7293,0.7365,0.8020,0.8469,0.0669,0.1388,0.8404,0.6168,0.7918
fruit_jelly,0.8442,0.9392,0.8966,0.9463,0.2034,0.3068,0.8354,0.5550,0.8070
rice,0.6161,0.8006,0.8108,0.9610,0.0985,0.2525,0.8289,0.5378,0.7797
sheet_metal,0.7653,0.9245,0.9000,0.8501,0.1281,0.2532,0.6847,0.4298,0.6642
vial,0.9624,0.9875,0.9484,0.9449,0.2806,0.3581,0.9442,0.7450,0.9309
wallplugs,0.4706,0.5689,0.7500,0.9121,0.0586,0.1479,0.7697,0.4092,0.7396
walnuts,0.9563,0.9738,0.9171,0.9682,0.4563,0.6249,0.8184,0.5486,0.7851
MEAN,0.7318,0.8091,0.8438,0.9134,0.1616,0.2608,0.7784,0.5069,0.7401
