category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30,avg_fine_tiles
can,0.5687,0.5671,0.6987,0.7830,0.0002,0.0018,0.4030,0.1940,0.4017,3.78
fabric,0.7751,0.7610,0.7822,0.7792,0.0773,0.1594,0.8247,0.6825,0.8239,4.12
fruit_jelly,0.7900,0.8886,0.8906,0.9209,0.2027,0.2714,0.7331,0.4726,0.7330,1.64
rice,0.6984,0.8651,0.8108,0.9581,0.6810,0.6901,0.8125,0.6536,0.8084,4.01
sheet_metal,0.7917,0.9439,0.8867,0.7352,0.1233,0.2108,0.5503,0.3838,0.5448,2.46
vial,0.9763,0.9926,0.9505,0.9435,0.3756,0.3696,0.9365,0.7840,0.9360,5.29
wallplugs,0.4669,0.5580,0.7692,0.9175,0.0867,0.1740,0.6572,0.4379,0.6550,4.77
walnuts,0.9141,0.9540,0.8757,0.9647,0.6506,0.6700,0.7664,0.5327,0.7653,4.20
MEAN,0.7476,0.8163,0.8331,0.8753,0.2747,0.3184,0.7105,0.5177,0.7085,3.78
