category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30,avg_fine_tiles
can,0.5317,0.5410,0.6964,0.8568,0.0009,0.0067,0.4654,0.2360,0.4601,10.80
fabric,0.7598,0.7509,0.7735,0.7347,0.0558,0.1252,0.9486,0.8728,0.9463,14.01
fruit_jelly,0.8267,0.9030,0.9180,0.9172,0.1792,0.2201,0.8234,0.5082,0.8225,8.00
rice,0.6661,0.8629,0.8108,0.9566,0.6496,0.6701,0.8272,0.6465,0.8244,14.66
sheet_metal,0.7403,0.9116,0.9278,0.7015,0.1129,0.1946,0.6656,0.5060,0.6598,10.01
vial,0.9777,0.9931,0.9515,0.9382,0.3669,0.3688,0.9366,0.7756,0.9358,8.88
wallplugs,0.4776,0.5587,0.7692,0.9110,0.0832,0.1676,0.7837,0.6184,0.7812,12.87
walnuts,0.9593,0.9773,0.9195,0.9543,0.6030,0.6289,0.8290,0.5880,0.8284,11.65
MEAN,0.7424,0.8123,0.8459,0.8713,0.2564,0.2978,0.7849,0.5940,0.7823,11.36
