category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30,tiles_all,tiles_norm,tiles_def
can,0.5363,0.5453,0.6867,0.7848,0.0002,0.0009,0.3726,0.1384,0.3664,1.75,1.65,1.85
fabric,0.7621,0.7610,0.7914,0.7216,0.0556,0.1252,0.7771,0.5863,0.7651,2.01,1.53,2.42
fruit_jelly,0.7567,0.8559,0.8819,0.9254,0.2084,0.2633,0.7331,0.4677,0.7306,1.65,1.15,1.82
rice,0.7048,0.8612,0.8108,0.9531,0.6577,0.6775,0.7677,0.5619,0.7648,1.15,1.07,1.19
sheet_metal,0.7532,0.9261,0.8867,0.7294,0.1223,0.2108,0.5426,0.3705,0.5356,2.45,1.67,2.66
vial,0.9766,0.9920,0.9585,0.9469,0.3812,0.3613,0.9420,0.7962,0.9414,2.36,1.14,2.76
wallplugs,0.4378,0.5431,0.7500,0.9192,0.0930,0.1813,0.6129,0.3977,0.6068,3.51,3.85,3.28
walnuts,0.8991,0.9459,0.8571,0.9647,0.6423,0.6663,0.7826,0.5416,0.7807,3.57,2.12,4.53
MEAN,0.7283,0.8038,0.8279,0.8681,0.2701,0.3108,0.6913,0.4825,0.6864,2.30,1.77,2.56
