category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30,avg_fine_tiles
can,0.5531,0.5495,0.6933,0.7746,0.0002,0.0021,0.4223,0.1688,0.4158,4.00
fabric,0.7062,0.7169,0.7434,0.7966,0.0729,0.1645,0.8180,0.6736,0.8109,4.00
fruit_jelly,0.8758,0.9435,0.9516,0.9187,0.2116,0.2651,0.8112,0.5330,0.8092,4.00
rice,0.7071,0.8701,0.8108,0.9615,0.6747,0.6730,0.7617,0.5323,0.7562,4.00
sheet_metal,0.8120,0.9472,0.9045,0.7455,0.0865,0.1887,0.6729,0.5063,0.6688,4.00
vial,0.9497,0.9835,0.9292,0.9411,0.3545,0.3599,0.9358,0.7615,0.9356,4.00
wallplugs,0.4619,0.5633,0.7500,0.9221,0.0678,0.1660,0.8090,0.5610,0.8032,4.00
walnuts,0.9009,0.9381,0.8687,0.9549,0.5555,0.5988,0.7545,0.5333,0.7522,4.00
MEAN,0.7458,0.8140,0.8314,0.8769,0.2530,0.3023,0.7482,0.5337,0.7440,4.00
