category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.5221,0.4851,0.6201,0.7374,0.0001,0.0003,0.3124,0.1495,0.3103
fabric,0.6850,0.7289,0.7644,0.9352,0.2509,0.3838,0.6530,0.3710,0.6454
fruit_jelly,0.7767,0.9086,0.8824,0.9208,0.2839,0.3816,0.7121,0.4691,0.7105
rice,0.8053,0.9028,0.8000,0.8921,0.4394,0.5037,0.7351,0.5321,0.7287
sheet_metal,0.7713,0.9402,0.8955,0.7478,0.1033,0.2259,0.5813,0.3577,0.5758
vial,0.9673,0.9889,0.9589,0.9352,0.3919,0.3898,0.9103,0.7459,0.9094
wallplugs,0.4631,0.5771,0.7500,0.8683,0.0423,0.1297,0.4257,0.1474,0.4245
walnuts,0.7996,0.8145,0.8660,0.9506,0.4773,0.5713,0.6517,0.3587,0.6475
MEAN,0.7238,0.7933,0.8172,0.8734,0.2486,0.3232,0.6227,0.3914,0.6190
