category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.4924,0.4438,0.6154,0.6968,0.0001,0.0002,0.2829,0.1041,0.2779
fabric,0.6603,0.7048,0.7583,0.9516,0.2455,0.3839,0.3947,0.1032,0.3800
fruit_jelly,0.6517,0.8485,0.8571,0.9252,0.3016,0.4119,0.5498,0.2201,0.5420
rice,0.6892,0.8405,0.7830,0.9042,0.3058,0.4420,0.6508,0.3872,0.6379
sheet_metal,0.6708,0.9033,0.8955,0.8718,0.2043,0.3393,0.4361,0.1828,0.4081
vial,0.9927,0.9976,0.9905,0.9368,0.3795,0.3870,0.9095,0.6938,0.9088
wallplugs,0.4665,0.5781,0.7500,0.8588,0.0365,0.1269,0.2959,0.1085,0.2881
walnuts,0.7928,0.7937,0.8500,0.9612,0.4941,0.5917,0.6334,0.3105,0.6261
MEAN,0.6770,0.7638,0.8125,0.8883,0.2459,0.3354,0.5191,0.2638,0.5086
