category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30,avg_fine_tiles
can,0.5307,0.5395,0.6964,0.8661,0.0009,0.0066,0.5227,0.2543,0.5138,16.00
fabric,0.7612,0.7547,0.7692,0.7316,0.0553,0.1247,0.9565,0.8823,0.9539,16.00
fruit_jelly,0.8267,0.9033,0.9167,0.9126,0.1767,0.2178,0.8287,0.4969,0.8278,16.00
rice,0.6611,0.8613,0.8108,0.9562,0.6475,0.6691,0.8297,0.6506,0.8266,16.00
sheet_metal,0.7245,0.9131,0.9091,0.6688,0.1110,0.1933,0.7465,0.5267,0.7396,16.00
vial,0.9766,0.9928,0.9528,0.9373,0.3653,0.3676,0.9371,0.7718,0.9359,16.00
wallplugs,0.4589,0.5522,0.7692,0.9061,0.0832,0.1683,0.8278,0.6469,0.8265,16.00
walnuts,0.9644,0.9802,0.9318,0.9512,0.5974,0.6238,0.8201,0.5701,0.8176,16.00
MEAN,0.7380,0.8121,0.8445,0.8662,0.2547,0.2964,0.8086,0.6000,0.8052,16.00
