category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30,tiles_all,tiles_norm,tiles_def
can,0.5319,0.5412,0.6857,0.7740,0.0001,0.0008,0.3566,0.1523,0.3564,3.06,2.95,3.17
fabric,0.7695,0.7622,0.7957,0.7262,0.0576,0.1303,0.8200,0.6862,0.8188,3.40,2.75,3.95
fruit_jelly,0.7842,0.8915,0.8906,0.9268,0.2136,0.2603,0.7265,0.4795,0.7264,3.01,2.05,3.33
rice,0.7320,0.8750,0.8108,0.9567,0.6675,0.6828,0.7899,0.5890,0.7896,1.82,1.74,1.86
sheet_metal,0.7625,0.9275,0.8867,0.7245,0.1198,0.2075,0.5463,0.4006,0.5376,4.25,3.29,4.50
vial,0.9831,0.9943,0.9677,0.9488,0.3931,0.3769,0.9433,0.8011,0.9428,3.46,1.94,3.96
wallplugs,0.4493,0.5482,0.7500,0.9160,0.0818,0.1637,0.6424,0.4240,0.6402,5.79,6.48,5.33
walnuts,0.9017,0.9483,0.8556,0.9631,0.6355,0.6632,0.8197,0.5735,0.8169,4.67,2.85,5.88
MEAN,0.7393,0.8110,0.8304,0.8670,0.2711,0.3107,0.7056,0.5133,0.7036,3.68,3.01,4.00
