branch,category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
T1,can,0.5386,0.5577,0.6946,0.7425,0.0002,0.0017,0.3327,0.1701,0.3308
T1,fabric,0.7315,0.7263,0.7910,0.8729,0.1409,0.2543,0.6965,0.4678,0.6934
T1,fruit_jelly,0.7583,0.8936,0.8772,0.9209,0.1913,0.2900,0.7152,0.4249,0.7135
T1,rice,0.8053,0.9079,0.8400,0.9537,0.4945,0.5243,0.7818,0.5710,0.7793
T1,sheet_metal,0.7829,0.9395,0.8955,0.8172,0.1420,0.2842,0.5492,0.3442,0.5355
T1,vial,0.9660,0.9882,0.9502,0.9460,0.3555,0.3642,0.9361,0.7656,0.9354
T1,wallplugs,0.4402,0.5693,0.7500,0.9012,0.0603,0.1506,0.5637,0.2743,0.5635
T1,walnuts,0.8172,0.8817,0.8257,0.9677,0.4595,0.5414,0.7145,0.3954,0.7072
T1,MEAN,0.7300,0.8080,0.8280,0.8903,0.2305,0.3014,0.6612,0.4267,0.6573
T2,can,0.5461,0.5334,0.6983,0.7784,0.0003,0.0032,0.4497,0.1719,0.4382
T2,fabric,0.7700,0.7484,0.8163,0.7949,0.0750,0.1636,0.8436,0.7073,0.8428
T2,fruit_jelly,0.8350,0.9127,0.9355,0.9211,0.2141,0.2714,0.8186,0.5355,0.8161
T2,rice,0.6627,0.8499,0.8108,0.9653,0.6690,0.6705,0.7922,0.5835,0.7782
T2,sheet_metal,0.8153,0.9486,0.9045,0.7453,0.0928,0.1964,0.6711,0.5065,0.6709
T2,vial,0.9483,0.9828,0.9352,0.9426,0.3553,0.3644,0.9389,0.7721,0.9384
T2,wallplugs,0.4609,0.5624,0.7500,0.9253,0.0723,0.1670,0.8165,0.5417,0.8134
T2,walnuts,0.9130,0.9473,0.8866,0.9559,0.5719,0.6065,0.7652,0.5628,0.7622
T2,MEAN,0.7439,0.8107,0.8422,0.8786,0.2563,0.3054,0.7620,0.5476,0.7575
T4,can,0.5201,0.5371,0.6903,0.8622,0.0009,0.0060,0.5409,0.2458,0.5310
T4,fabric,0.7627,0.7581,0.7708,0.7363,0.0559,0.1263,0.9569,0.8838,0.9566
T4,fruit_jelly,0.8475,0.9299,0.9244,0.9155,0.1828,0.2253,0.8320,0.5055,0.8316
T4,rice,0.6431,0.8538,0.8108,0.9588,0.6435,0.6649,0.8374,0.6578,0.8308
T4,sheet_metal,0.7130,0.9060,0.9045,0.6723,0.1088,0.1951,0.7486,0.5211,0.7397
T4,vial,0.9565,0.9866,0.9439,0.9350,0.3524,0.3601,0.9346,0.7634,0.9337
T4,wallplugs,0.4661,0.5523,0.7686,0.9044,0.0848,0.1687,0.8318,0.6566,0.8288
T4,walnuts,0.9539,0.9746,0.9222,0.9514,0.5976,0.6272,0.8143,0.5742,0.8134
T4,MEAN,0.7329,0.8123,0.8419,0.8670,0.2533,0.2967,0.8121,0.6010,0.8082
MEAN,can,0.5453,0.5568,0.6894,0.8238,0.0004,0.0029,0.4386,0.2276,0.4177
MEAN,fabric,0.7708,0.7526,0.7925,0.8499,0.1008,0.1990,0.9069,0.7811,0.9050
MEAN,fruit_jelly,0.8175,0.9028,0.9219,0.9256,0.2354,0.2958,0.8026,0.5181,0.8017
MEAN,rice,0.7312,0.8844,0.8108,0.9737,0.7319,0.7094,0.8814,0.7458,0.8769
MEAN,sheet_metal,0.8037,0.9439,0.9091,0.7826,0.1478,0.2575,0.7425,0.5354,0.7353
MEAN,vial,0.9701,0.9900,0.9573,0.9477,0.3923,0.3889,0.9477,0.8051,0.9470
MEAN,wallplugs,0.4681,0.5732,0.7500,0.9264,0.1156,0.2320,0.8189,0.5613,0.8176
MEAN,walnuts,0.9037,0.9415,0.8571,0.9636,0.6566,0.6893,0.7802,0.5718,0.7794
MEAN,MEAN,0.7513,0.8181,0.8360,0.8992,0.2976,0.3468,0.7899,0.5933,0.7851
MAX,can,0.5482,0.5641,0.6885,0.8536,0.0007,0.0042,0.5415,0.2619,0.5223
MAX,fabric,0.7450,0.7339,0.8000,0.8502,0.1155,0.2320,0.9516,0.8557,0.9494
MAX,fruit_jelly,0.8558,0.9393,0.9333,0.9217,0.1967,0.2753,0.8363,0.5326,0.8329
MAX,rice,0.8011,0.9126,0.8230,0.9707,0.6641,0.6586,0.8571,0.7177,0.8502
MAX,sheet_metal,0.8472,0.9590,0.9091,0.8525,0.1485,0.2757,0.7745,0.5849,0.7666
MAX,vial,0.9442,0.9810,0.9412,0.9407,0.3558,0.3618,0.9386,0.7728,0.9385
MAX,wallplugs,0.4481,0.5663,0.7563,0.9188,0.0784,0.1782,0.8307,0.6052,0.8255
MAX,walnuts,0.8909,0.9329,0.8731,0.9561,0.5345,0.5708,0.7997,0.5548,0.7948
MAX,MEAN,0.7601,0.8236,0.8406,0.9080,0.2618,0.3196,0.8162,0.6107,0.8100
