category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.5207,0.4838,0.6201,0.7376,0.0001,0.0003,0.3129,0.1516,0.3087
fabric,0.6838,0.7273,0.7644,0.9350,0.2519,0.3848,0.6519,0.3813,0.6489
fruit_jelly,0.7758,0.9084,0.8824,0.9183,0.2869,0.3840,0.7089,0.4721,0.7048
rice,0.8038,0.9012,0.8000,0.8896,0.4380,0.5038,0.7334,0.5060,0.7243
sheet_metal,0.7690,0.9391,0.8955,0.7387,0.1014,0.2222,0.5795,0.3444,0.5680
vial,0.9695,0.9895,0.9633,0.9338,0.3925,0.3901,0.9085,0.7472,0.9069
wallplugs,0.4635,0.5774,0.7500,0.8644,0.0418,0.1291,0.4226,0.1493,0.4148
walnuts,0.8035,0.8179,0.8660,0.9476,0.4825,0.5744,0.6492,0.3410,0.6406
MEAN,0.7237,0.7931,0.8177,0.8706,0.2494,0.3236,0.6209,0.3866,0.6146
