category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30,avg_fine_tiles
can,0.5201,0.5451,0.6923,0.7790,0.0001,0.0005,0.3373,0.1108,0.3296,0.00
fabric,0.6982,0.7034,0.7594,0.9128,0.1654,0.2854,0.7110,0.4267,0.6964,0.00
fruit_jelly,0.7717,0.8985,0.8741,0.9236,0.2219,0.3239,0.7066,0.4239,0.7058,0.00
rice,0.8738,0.9393,0.8911,0.9575,0.5080,0.5421,0.7895,0.5989,0.7792,0.00
sheet_metal,0.7778,0.9382,0.8955,0.8194,0.1421,0.2847,0.5510,0.3408,0.5329,0.00
vial,0.9722,0.9904,0.9677,0.9464,0.3615,0.3600,0.9343,0.7644,0.9328,0.00
wallplugs,0.4389,0.5704,0.7500,0.9055,0.0588,0.1549,0.5473,0.2497,0.5416,0.00
walnuts,0.8235,0.8879,0.8100,0.9679,0.5099,0.5655,0.7071,0.3975,0.7006,0.00
MEAN,0.7345,0.8092,0.8300,0.9015,0.2460,0.3146,0.6605,0.4141,0.6524,0.00
