category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.5244,0.4554,0.6154,0.7519,0.0001,0.0004,0.3086,0.1723,0.3020
fabric,0.6828,0.7233,0.7847,0.9364,0.1962,0.3044,0.7466,0.4558,0.7369
fruit_jelly,0.7783,0.8997,0.8824,0.9353,0.2673,0.3503,0.7476,0.5025,0.7460
rice,0.8202,0.9022,0.8261,0.9509,0.5538,0.5525,0.7759,0.5607,0.7574
sheet_metal,0.8083,0.9489,0.8955,0.9368,0.2079,0.3322,0.6065,0.3780,0.5943
vial,0.9521,0.9835,0.9459,0.9371,0.3710,0.3722,0.9240,0.7250,0.9223
wallplugs,0.4463,0.5635,0.7595,0.8682,0.0181,0.0567,0.4339,0.1126,0.4216
walnuts,0.7693,0.7743,0.8557,0.9617,0.3639,0.5217,0.7419,0.4060,0.7352
MEAN,0.7227,0.7813,0.8206,0.9098,0.2473,0.3113,0.6606,0.4141,0.6520
