category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,0.5076,0.4420,0.6154,0.7837,0.0001,0.0003,0.4167,0.1090,0.4084
fabric,0.7045,0.7474,0.7963,0.8900,0.1901,0.3095,0.6757,0.4664,0.6727
fruit_jelly,0.8217,0.9277,0.8955,0.9250,0.2360,0.3142,0.7568,0.5317,0.7566
rice,0.8100,0.8996,0.8092,0.9415,0.4968,0.5460,0.7218,0.5252,0.7098
sheet_metal,0.8014,0.9478,0.8955,0.8696,0.1425,0.2913,0.6141,0.3902,0.6040
vial,0.9486,0.9824,0.9493,0.9418,0.3815,0.3768,0.9274,0.7384,0.9272
wallplugs,0.4352,0.5647,0.7500,0.7395,0.0208,0.0909,0.4226,0.1443,0.4189
walnuts,0.7748,0.7635,0.8776,0.9604,0.3929,0.5453,0.7346,0.4299,0.7304
MEAN,0.7255,0.7844,0.8236,0.8814,0.2326,0.3093,0.6587,0.4169,0.6535
